POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Polyamide 4/6 Nanofibers,Trimethoprim,8.2,0.00002247,0.00006005,https://link.springer.com/article/10.1007/s11270-023-06281-0
Polyamide 4/6 Nanofibers,Trimethoprim,8.2,0.0001124,0.000224993333333333,https://link.springer.com/article/10.1007/s11270-023-06281-0
Polyamide 4/6 Nanofibers,Trimethoprim,8.2,0.0002388,0.00049405,https://link.springer.com/article/10.1007/s11270-023-06281-0
Polyamide 4/6 Nanofibers,Trimethoprim,8.2,0.0002781,0.0006556,https://link.springer.com/article/10.1007/s11270-023-06281-0
Polyamide 4/6 Nanofibers,Trimethoprim,8.2,0.0003062,0.000864333333333333,https://link.springer.com/article/10.1007/s11270-023-06281-0
Graphene oxide (GO),Atenolol,2,60,116,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide (GO),Propranolol,1,60,67,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Doxorubicin,3.4,350,1428.57,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetic graphene oxide functionalized with nitricacid(NDMGO),Ciprofloxacin,9,50,334.78,https://link.springer.com/article/10.1007/s41742-025-00825-4
GO/sodium alginate hydrogels,Ciprofloxacin,4,50,86.12,https://link.springer.com/article/10.1007/s41742-025-00825-4
GO/calcium alginate fibers,Ciprofloxacin,5.9,60,66.25,https://link.springer.com/article/10.1007/s41742-025-00825-4
Porous graphene oxide-chitosan aerogel (PGO-CS),Tetracycline,9,2000,1470,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4@SiO2 Chitosan/GO,Tetracycline,6,50,32.5,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Tetracycline,7,20,323,https://link.springer.com/article/10.1007/s41742-025-00825-4
NDMGO,Tetracycline,4,50,400,https://link.springer.com/article/10.1007/s41742-025-00825-4
Thiourea-dioxide-reduced magnetic graphene oxide (TDMGO),Tetracycline,4,100,1233,https://link.springer.com/article/10.1007/s41742-025-00825-4
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Tetracycline,3,50,110,https://link.springer.com/article/10.1007/s41742-025-00825-4
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Ciprofloxacin,8,50,300,https://link.springer.com/article/10.1007/s41742-025-00825-4
Pristine graphene,Sulfamethoxazole,2,100,239,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide nanoparticles,Metformin,6.26,300,122.61,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Ketoprofen,4,50,16.45,https://link.springer.com/article/10.1007/s41742-025-00825-4
