POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,PREDICTED_CAPACITY
*Oc1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(*)=O)cc4)cc3)cc2)cc1,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,12.5,85.043976
*Oc1ccc(/C=N/c2ccc(/C=N/c3ccc(CC(=O)Sc4ccc(C(*)=O)nc4)cc3)cc2)cc1C(C)(C)CC,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,12.5,8.694326
*CCCCCOc1ccc(-c2ccc(OCCOCCOC(=O)c3ccc(C(=O)O*)cc3)cc2)cc1,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,12.5,3.9817555
*CCCCCCCCCCCCCCCCCCCCCOC(=O)CCNC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(*)cc2)cc1,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,12.5,9.1336524e-08
*/C=C/c1cc([N+](=O)[O-])c(C(C)(C)c2ccc(C(C)(C)c3ccc(C(*)=O)cc3)cc2)cc1-c1ccccc1,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,12.5,5.975842e-09
*CCCCCCCCCOC(=O)NCCOCCCCCCCNC(=O)OCCCCCOC(=O)O*,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,12.5,5.7252816e-09
*[Si](*)(Cl)CCCCCCOCCOc1ccc(/N=N/c2ccc(C)c([N+](=O)[O-])c2)cc1,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,8.2,12.5,3.0041697e-14
